cell_num,file,drug_type,vc_kr1_avg_change,vc_kr2_avg_change,vc_cal_avg_change,vc_na_min_change,vc_to_avg_change,vc_k1_avg_change,vc_f_avg_change,vc_ks_avg_change,vc_weird_k,dvdt_max,rmp,apa,apd10,apd20,apd30,apd60,apd90,triangulation
0,021021_2_control,Control,1.460778864,-0.8824801,5.932671382,9.769407114,0.466853408,0.282904761,0.540856821,0.102424717,-0.697555287,-0.555415454,-0.008027146,-0.105780984,-0.007518797,0.050058893,0.082374597,0.080096502,0.007815214,0.291784485
1,021121_1_cisapride,Cisapride,-1.01081693,-0.464542081,1.376249985,-30.06288471,1.854334915,-0.546366141,-0.877777126,1.236545882,1.401852684,-0.410887531,-0.106265821,-0.095277479,0.068493151,-0.010967099,-0.021538462,-0.023888889,-0.01531457,-0.034627577
2,021921_1_control,Control,-0.818266624,0.282802219,1.015865288,1.386038323,0.421179245,0.248417778,0.440696476,0.305964698,-0.189005226,-0.214803087,-0.029253083,-0.049928226,-0.360586011,-0.334588644,-0.335271751,-0.286445013,-0.21761745,-0.537388793
3,021921_2_control,Control,0.196490038,-0.224568391,0.557009083,-5.107280091,0.752739456,-0.29341804,-0.129733389,0.535902716,0.169463527,-0.095010004,-0.036551127,-0.033882445,-0.161383285,-0.13090757,-0.101241019,-0.086053412,-0.038965836,-0.202949783
4,022221_3_cisapride,Cisapride,-2.06806075,-0.445737024,0.396335794,-1.266698205,2.024641151,-0.310525876,-0.603296212,0.879547681,0.06333491,-0.177016154,-0.017923681,-0.027820262,-0.213300892,-0.167366212,-0.104753891,1.802877698,1.271403354,inf
5,022421_1_cisapride,Cisapride,-2.00013815,-1.124289664,0.158630432,1.792692936,1.597398588,-0.536054001,-0.528331094,0.279812331,-0.200753433,-0.180283954,0.000843806,-0.015919625,-0.193952033,-0.180511182,-0.16407355,-0.148104265,-0.079410366,-0.120195873
6,022521_2_cisapride,Cisapride,-1.402555305,-0.967092063,-0.149609648,-3.885989237,0.014265498,-0.103234045,-1.608639332,0.570350236,-0.528629506,-0.06660615,-0.000273468,0.007199052,0.367883212,0.514705882,0.526027397,0.472400948,0.445715881,0.136184707
7,022621_2_cisapride,Cisapride,-0.356409392,0.119377564,0.506649659,3.637725754,1.001737555,-0.38127774,-0.586469834,1.018922275,1.127976978,-0.266517296,-0.002702551,-0.034113042,-0.274822695,-0.289617486,-0.287871163,-0.283926476,-0.225454545,-0.212719157
8,022621_4_cisapride,Cisapride,0.131669412,-1.57950627,2.249659689,120.3633988,-2.673327969,1.632612047,-0.558563883,-0.379948699,4.011528096,0.294385555,-0.008769087,-0.02059046,-0.355291577,-0.329249617,-0.319480519,-0.287944026,-0.210429165,-0.397999068
9,031121_3_control,Control,0.42097767,0.530170469,0.35547517,-2.594180162,1.151367886,-0.574110382,-1.102893451,0.869321369,1.010434271,0.008512677,-0.023118557,-0.045478501,-0.494629156,-0.489514679,-0.48472125,-0.464083349,-0.423548922,-0.447488584
10,031221_1_control,Control,0.374817949,0.312566971,1.837438934,-11.38303595,1.620333181,-0.654833223,-0.657523044,1.948243024,1.113811407,-0.202080648,0.008709802,-0.023793787,-0.148952096,-0.157718121,-0.152417795,-0.118413262,-0.032242881,-0.233737214
11,031221_2_control,Control,0.153577968,0.002534088,0.110273681,2.372641664,0.3595952,-0.171354357,-0.361289763,0.132566365,0.194143805,-0.099823914,0.019541618,-0.005129677,-0.063914027,-0.110544218,-0.113840465,-0.119095276,-0.096495771,-0.15626307
12,031521_2_verapamil,Verapamil,0.044756308,-0.308975563,3.803775783,-21.94629479,-1.031083256,0.429122813,-0.41709958,-1.19557943,-0.180595628,-0.566501973,-0.010650735,-0.166755427,-0.831528279,-0.77582846,-0.716290727,-0.560159098,-0.54351733,0.100873408
13,031521_3_verapamil,Verapamil,-0.715737609,-0.166624751,5.323043855,12.37676221,2.494426218,-0.90376262,-1.240416465,0.15516152,-0.357927674,-0.206203136,-0.037664546,-0.125880891,-0.45039019,-0.40444092,-0.385790173,-0.322318251,-0.287528868,-0.202835565
14,031521_4_verapamil,Verapamil,-0.749079257,0.082474383,6.22893451,-4.595361636,3.873572068,-2.101742697,-2.57898879,1.64487107,-0.416155143,-0.898228845,-0.079938769,-0.164853648,-0.518867925,-0.47791411,-0.445492662,-0.310889443,-0.1703312,-0.517726562
15,031621_1_verapamil,Verapamil,0.918495794,2.551697757,10.39997928,-66.43062107,4.538637912,-1.348352493,-1.660337715,11.11676102,4.553375555,-0.942847018,-0.081855,-0.128237993,-0.603677869,-0.563714903,-0.550968213,-0.526690391,-0.54739726,0.137325598
16,031621_2_verapamil,Verapamil,-0.174721192,0.272471995,5.202117775,-17.15547601,2.900473923,-1.614225463,-2.112861457,1.481452605,1.023699349,-0.214874365,-0.040444006,-0.094374442,-0.474489796,-0.421961326,-0.412957746,-0.364561255,-0.231294629,-0.431105381
17,031721_3_verapamil,Verapamil,-1.379805172,-0.426222657,3.257929919,20.88123818,2.262231161,-0.765749888,-0.661522512,0.233403973,-0.456763091,0.048517058,0.010142442,-0.032221277,-0.887407407,-0.678141136,-0.505074627,0.806656101,0.659168081,0.39537868
18,031821_1_verapamil,Verapamil,-0.260817666,0.012613495,2.426166766,-6.916163485,1.251552771,-0.278295699,-0.486654012,-0.003952551,0.159440244,-0.142264866,-0.017172277,-0.049664593,-0.029616725,-0.022605592,-0.037249284,0.021856193,0.052085495,-0.182045131
19,031821_2_verapamil,Verapamil,-0.093377112,-0.504438957,2.358747707,-2.147065913,0.357763297,0.103281768,-0.083134515,-0.149240337,-0.46992386,-0.071408155,-0.014578564,-0.031410202,-0.028676022,-0.055297594,-0.048415806,-0.022025172,0.005021971,-0.267465253
20,031921_3_verapamil,Verapamil,-0.231841528,-0.952927804,2.784211705,-13.67651163,-0.349359898,0.237309195,0.565598232,-0.871077841,-1.217702654,-0.154271047,-0.022315792,-0.048527701,-0.227932961,-0.242056615,-0.248,-0.014069551,0.04698741,-0.448748558
21,033021_4_control,Control,-0.09874163,-0.213457189,2.35360996,0.68569509,2.405467573,-0.428540019,-0.507965689,0.250192407,0.066109616,-0.300329164,-0.04941594,-0.14015498,-0.378348214,-0.299476018,-0.178266178,0.491108071,0.392323796,0.27260487
22,033021_5_control,Control,0.387014323,-1.3217831,-1.03715091,-4.108432302,-0.835490793,0.904980199,1.190262071,-0.719910789,-0.671956928,0.089169131,0.015320621,0.036348248,0.134522992,0.172864732,0.165593376,0.169243804,0.151384394,0.072041664
23,033121_2_control,Control,-0.005662766,-0.36533971,1.420294657,1.03391138,1.081880484,-0.450954673,-0.366205782,0.545655601,0.361686313,-0.123481058,-0.064815593,-0.082039765,-0.332132132,-0.284988272,-0.266169154,-0.227801138,-0.177268872,-0.267191345
24,033121_3_control,Control,-0.285524749,-0.089692013,1.385208835,0.372423585,1.074390318,-0.385433332,-1.603267961,0.164421877,-0.165521593,-0.022108844,-0.008523989,-0.030940839,-0.311627907,-0.308886972,-0.279819471,-0.190538765,-0.115951743,-0.28534894
25,040221_1_quinidine,Quinidine,-0.492950982,-0.502673545,0.749916607,10.50434763,-0.453492161,-0.261628767,0.38699433,-0.499996824,-0.872756353,-0.440052129,0.028285616,-0.029224385,-0.240963855,-0.153627312,-0.16615802,-0.127300613,-0.228647967,1.197870398
26,040521_1_quinidine,Quinidine,-2.165120375,-0.371675572,-0.833129441,-2.203350145,-0.071822638,-1.752116791,-2.695961518,0.659746531,-0.651139296,-0.145986985,-0.00282646,-0.073564038,0.103074141,0.06741573,0.122807018,0.709618875,0.734735974,-0.166753139
27,040621_1_quinidine,Quinidine,-1.226443885,-0.828295612,1.957328594,12.19824162,1.214393746,-1.316192637,-2.343527911,1.68283218,-1.678492409,-0.217255622,0.018101508,-0.01500242,-0.128378378,-0.094256259,-0.070520231,0.004255319,0.049358974,-0.223756587
28,040621_3_quinidine,Quinidine,-0.314948907,-0.485122369,1.178009964,-1.266532502,-5.367874639,-0.604481421,-0.114937927,-2.145484058,-1.003794376,-0.182741117,0.017721891,0.007256807,0.764705882,0.878318584,0.342129208,0.855339295,0.571265244,-2.257780028
29,040821_2_quinidine,Quinidine,-0.636378177,-0.489660674,0.32261454,1.141080366,-1.034217018,1.053570159,0.723345537,-0.771441498,-0.250970755,-0.150081671,-0.008645921,-0.007765059,0.095818815,0.007088332,-0.008880995,0.137110292,0.34207765,-0.604059454
30,040921_1_quinidine,Quinidine,-0.702039498,-0.158779193,-0.099485977,14.6792502,-0.869052872,0.583975282,0.470074052,-0.451741752,-0.305891814,-0.249197529,-0.018739799,-0.038570658,0.041125541,-0.027586207,-0.074177098,0.043887147,0.194648994,-0.548182013
31,042021_2_quinine,Quinine,-0.992499859,-0.577852525,2.43438897,4.318966632,0.079258456,-0.012821957,0.699149669,-0.493173809,-1.581188501,-0.441496462,-0.043326934,-0.030108017,0.154155496,0.134044174,0.13954835,0.28288908,1.997532387,-0.941681045
32,042121_1_quinine,Quinine,-1.100365088,-0.527871868,2.589302523,1.150295497,2.63401868,-0.473512138,0.023500028,0.606273432,-0.306534789,-0.239656816,-0.001626135,-0.072812703,-0.467509025,-0.273094397,-0.254814815,0.65721393,1.040462428,-0.697168244
33,042621_1_quinine,Quinine,-1.362081331,-0.334111543,0.284977493,27.72869459,2.220175479,-0.3601869,0.218656327,-0.732976544,-4.101625086,-0.173627236,0.013185365,0.009423555,0.213270142,0.275650842,0.317319848,0.552607502,0.821775762,-0.384372527
34,042621_2_quinine,Quinine,-1.217614889,-1.324152751,0.760190313,100.6906674,-0.066400342,-0.188644286,0.902588947,-0.521161901,-0.765310737,-0.269221189,0.051173576,0.034810527,0.149837134,0.212720848,0.309599156,1.066140446,0.887148594,0.678675402
35,042621_6_quinine,Quinine,-1.645934161,-0.225527494,0.870393311,-48.8692491,0.578814229,-0.280940141,0.263511297,0.082425692,-0.443319216,-0.091176559,-0.003328776,0.007666753,-0.092257002,-0.06438253,-0.048185422,0.472680772,0.57968893,-0.456647605
36,042721_2_quinine,Quinine,-2.031811428,0.308450228,2.768604199,-3.424197176,2.417646696,-0.631021841,1.189731378,1.983088534,0.236151529,-0.469604091,-0.074949533,-0.106428721,-0.455696203,-0.433333333,-0.407632264,-0.27857589,0.180838323,-0.825445582
37,042721_4_quinine,Quinine,-1.592689755,-1.261099471,-0.879553498,4.894624716,0.310673686,0.049867479,1.851254816,-0.218988426,-1.997758098,-0.429574758,-0.04144636,-0.031097191,-0.073639274,0.022271715,0.112530414,0.675637394,0.834578442,-0.438706083
38,042721_5_quinine,Quinine,-0.457814758,0.010990024,2.922975897,49.62180999,-0.773561848,0.290622581,2.016616314,-0.424807036,-1.154569923,-0.222825104,0.049992792,0.013280731,-0.183556405,-0.156445557,-0.138083538,0.006408094,0.227448454,-0.544908979
39,042921_1_quinine,Quinine,-0.927007296,-1.450620488,1.687410395,-0.187625165,-2.28669907,1.722038223,4.895240348,-1.022079682,-1.712948265,-0.258090452,0.013406278,0.043961747,0.355579869,0.348540146,0.344139651,0.500844119,0.51189898,-0.089448692